"age_cat","pregame_skill","skill_grade","alignment","mining_output","rare_gems","common_gems","easy_attempts","hard_attempts","epic_attempts","trivia_score","time_combat","time_overworld","time_space","time_played","combat_rating","play_style","device_os","device_age","spender","money_spent","demo_x1","demo_x2","demo_x3","demo_x4","demo_x5"
"60-69",104.573971256586,"C",0.692566280618133,6.85662853031701,2,89,8,0,5,11,11.78,54.45,12.57,134.25,2450.86323965675,"Fire","Apple",0,1,6.18,0.309330976335332,0.0225076924543828,2.27314635956939,0.145438484322276,1.81048429963571
"30-39",97.8551440804088,"D",0.894165407908888,3.95347230546798,8,53,0,51,8,15,11.77,39.1,31.83,100.71,1818.0343623607,"Water","Apple",0,0,0,0.360432996181771,0.94760056771338,-0.150128827538571,-0.246527726866735,1.58525204806131
"20-29",120.441229775818,"B",0.949518675648839,3.0007786119039,6,69,10,40,4,11,10.05,48.13,26.19,163.82,1342.82687803607,"Grass","Android",2,0,0,0.350035509793088,0.0531075247563422,-1.75913904928383,0.475357885520402,3.59597444524667
"40-49",76.7946824279857,"E",0.383836409238266,5.3057882270396,4,89,0,5,6,11,29.5,98.9,37.87,251.65,4235.2055640742,"Psychic","Android",0,0,0,0.984783785417676,0.59980835346505,-0.962647128417068,-0.114782316129015,3.40727379466366
"20-29",89.5955235902694,"D",0.376039725418328,3.01642415060652,1,64,1,9,20,11,17.64,100.59,33.96,228.38,3887.89785793269,"Water","Android",4,0,0,0.0836645343806595,0.573092662496492,0.617718303516591,-0.361557771137096,2.36819140597477
"50-59",93.4184494763235,"D",0.969115225158807,11.4488576162376,7,78,16,137,3,14,11.26,15.55,8.34,48.79,1001.63671108668,"Fire","Apple",1,0,0,0.512790286447853,0.654220367083326,0.880823532113799,-0.00238228378047505,3.6257115599111
"30-39",64.5809367189717,"F",0.239205541923138,5.04474858831302,3,57,1,46,5,9,17.52,96.7,23.6,165.1,2695.16554321573,"Water","Apple",0,1,7.94,0.332321126013994,0.912650054786354,-0.24149949367509,0.295552896305343,3.53107939734066
"20-29",105.194992167447,"C",0.651703085554397,4.5687229062138,7,73,0,24,13,13,13.13,54.41,16.73,160.01,1831.43848327269,"Grass","Apple",0,1,0.99,0.0710446578450501,0.234594271052629,2.46622558595183,1.75634146261583,1.77208952376024
"60-69",95.1178222529435,"D",0.464345473518439,6.65393619456051,4,74,3,111,7,11,10.28,20.14,16.88,62.2,1749.9505815578,"Fire","Apple",0,1,0.03,0.512439619516954,0.470716489013284,1.76415342774115,2.10736012599444,2.01165979246955
"30-39",78.0382727082196,"E",0.44637333516824,3.49246246727737,2,67,0,7,11,16,21.53,10.16,13.99,86.75,3068.81746963227,"Fire","Android",1,0,0,0.718160612275824,0.814390866318718,-0.0700348311634156,0.0033635212804395,2.15181583793084
"60-69",89.6586311531793,"D",0.488625193903276,3.9193528895218,3,85,0,33,5,10,2.39,66.43,13.18,147.79,769.736074123775,"Fire","Android",0,0,0,0.250629971269518,0.672660536132753,0.308766105663802,-0.498979483283689,1.3084184712416
"70+",99.4936201917638,"D",0.736379915986374,6.52459294673693,2,73,9,15,7,8,19.59,30.65,18.26,136.31,3818.42725029439,"Fire","Other",4,0,0,0.521944803884253,0.373180529102683,-0.331995233019427,0.302973435993565,2.41971833831545
"60-69",130.611246539546,"A",0.839489253731937,13.1441100916405,4,80,1,9,9,11,2.79,22.78,21.34,49.44,1538.23257335779,"Grass","Apple",0,0,0,0.879791230894625,0.432787962025031,1.51266968842215,-1.0155209059212,2.40802270013401
"20-29",89.2281407403285,"D",0.739315273519619,3.6937522769317,2,66,1,73,3,10,5.41,50.35,15.09,123.2,652.875043493791,"Grass","Apple",0,0,0,0.522704317700118,0.4715294635389,-2.082183563324,-0.451974154341443,3.28079805968359
"13-19",93.5430651532995,"D",0.870841034964308,2.81820196655323,3,80,3,4,2,11,13.26,42.36,19.02,97.38,1517.22710714791,"Grass","Apple",0,1,26.03,0.311765697551891,0.284636376658455,2.02672224096248,1.41730133611413,1.62844589255999
"70+",90.8483238936828,"D",0.735023210080583,7.54066329975552,6,70,6,9,18,9,7.49,77.86,12.98,192.64,2424.26126894122,"Fire","Apple",1,1,0.6,0.584742179140449,0.624420162523165,1.34744580789761,1.516263653731,2.84592405847588
"60-69",94.4997325179885,"D",0.622889873174295,5.49067793087565,8,77,2,6,11,11,2.63,125.57,46.46,324.38,996.811189792349,"Psychic","Apple",0,1,2.35,0.191128057194874,0.126243038801476,0.663705306969565,1.51639015768591,1.41697133528131
"60-69",128.769417529166,"B",0.477580887214366,2.53414523092582,3,77,1,3,12,10,2.48,27.12,18.82,78.4,1590.41457212783,"Water","Android",2,0,0,0.315254635876045,0.931685561314225,-2.01619717930598,0.0715137014330355,2.93444258587054
"13-19",95.279714033648,"D",0.789687727552372,4.62257608058302,5,55,2,59,2,10,19.72,41.65,18.95,119.63,3172.64094034195,"Grass","Android",0,0,0,0.757508502807468,0.82915180362761,0.0278866652994557,0.771703463190056,1.82225452793867
"40-49",115.387115590504,"B",0.419502648286992,18.6942002697091,6,60,10,16,10,10,6.52,99.5,17.94,160.75,1698.83776392421,"Fire","Android",0,0,0,0.839208067627624,0.270514293108135,0.231123152968242,-0.860816809983645,1.29444719995028
"40-49",120.752609887548,"B",0.728282760869831,5.32062294701441,3,76,3,91,10,11,2.13,35.6,21.25,114.9,750.778744262395,"Water","Apple",0,1,1.23,0.0537833089474589,0.17427210113965,1.36887367107099,2.1152870237828,3.34230546733864
"20-29",108.849592588819,"C",0.460609202303569,4.67834117967978,4,67,0,3,8,12,19.73,6.87,18.95,66.63,3020.81311977116,"Fire","Android",0,0,0,0.821667992509902,0.393665674841031,0.479401434910962,-0.0929434743284877,1.51962657087084
"40-49",110.248708099531,"C",0.303352286471173,8.98706028791788,7,65,5,0,11,10,4.89,64.73,28.51,114.35,2033.57447074994,"Water","Android",2,0,0,0.0962240744847804,0.736886659637094,0.139497465321179,-0.468518393262479,2.53839306913091
"30-39",110.8873782391,"C",0.863732817966024,0.767331011149384,5,76,3,18,0,11,21.42,23.23,14.25,76.29,3148.9378963505,"Fire","Android",1,0,0,0.39267245028168,0.525356260826811,1.39639096577834,-1.25445203134362,1.23262078051091
"13-19",105.98746582974,"C",0.827541711768061,5.51294844252566,6,76,1,22,11,15,17.92,20.41,21.61,74.74,2825.11387197538,"Grass","Apple",1,0,0,0.993599403649569,0.672759235138074,0.934657403306127,-0.511396775417566,2.75050846767657
"60-69",122.344090893502,"B",0.849083025220855,11.2595120212937,3,64,3,14,6,10,15.98,143.23,40.16,260.36,2728.46680366908,"Psychic","Microsoft",3,0,0,0.922678155824542,0.940213862108067,1.15430629653748,-1.22787049893637,1.85939677216797
"50-59",114.390443392107,"C",0.538281465946123,5.83254653508064,1,56,1,3,8,12,3.14,19.49,23.1,85.61,2364.79886908431,"Grass","Android",1,0,0,0.661599139450118,0.811236109351739,0.788169770197745,0.403390444431553,1.72011070753912
"40-49",106.636591203623,"C",0.971644742988419,6.91900595332478,4,67,1,14,7,12,2.55,53.65,16.98,73.21,742.516340337509,"Fire","Apple",0,1,3.51,0.163504593539983,0.307227177778259,1.25519347026502,0.825090717089575,2.65715342827291
"20-29",87.0415572671663,"D",0.381538352670108,7.18992448685623,3,70,0,7,0,13,8.07,121.13,18.71,292.05,1849.76148984334,"Grass","Apple",0,0,0,0.0396003958303481,0.0769441032316536,-0.772562210225528,1.62804989509679,3.38430450067548
"70+",70.3282077428197,"E",0.872755921040666,10.3948777283381,5,72,1,12,8,9,1.66,84.22,21.66,120.17,1736.01553804234,"Grass","Other",4,0,0,0.0973196218255907,0.470220775809139,-0.00700941052608167,-0.193104876721472,2.15833941098404
"60-69",77.409291901846,"E",0.409525344146481,4.06581295678289,4,72,2,46,5,13,2.95,17.12,27.77,67.4,620.707989594286,"Grass","Android",7,0,0,0.305725132813677,0.95018372638151,0.182125658828881,0.135427563586652,1.09991381841168
"20-29",115.05530556897,"B",0.740504167880126,1.16488871490594,1,74,2,86,3,10,11.83,21.55,14.75,77.58,1909.00780451652,"Grass","Apple",0,0,0,0.59192164381966,0.960393815068528,1.16847861725793,-1.96877300845497,2.55026109845614
"40-49",100.923124947519,"C",0.919705963375463,2.13724830687637,5,73,12,8,6,13,2.32,41.03,57.26,181.36,2145.39295939716,"Psychic","Apple",1,1,15.36,0.37506429059431,0.611241318983957,1.9426365988584,1.31410483988585,2.85978532242465
"30-39",138.266791151992,"A",0.537403314537635,9.3088634045639,4,77,1,19,7,9,2.32,136.97,22.03,241.2,1569.87718191227,"Fire","Apple",1,1,5.12,0.33447791589424,0.885968723800033,-1.06230283233403,2.64399910262637,1.36823540199436
"40-49",123.605025891882,"B",0.118937269466849,11.2359199900424,3,54,13,82,9,7,28.55,35.94,14.47,125.14,4378.16653752086,"Fire","Android",1,0,0,0.07689174474217,0.603765442268923,0.5081084167629,-1.19446653825419,2.77647109674768
"13-19",113.465860043033,"C",0.183006773036394,6.18473363661878,5,71,0,13,8,9,1.32,48.57,13.2,70.99,909.851711555025,"Fire","Apple",2,0,0,0.151245245244354,0.202529745642096,0.371083508355943,-0.0970069090272738,2.45448217287232
"13-19",109.687712664474,"C",0.89612013811501,4.28806954081523,4,73,2,16,12,14,5.25,103.27,18.73,153.29,1405.81514414662,"Grass","Microsoft",1,0,0,0.00621105660684407,0.721377164358273,-0.311400303307799,-2.04876470962925,2.37941101510125
"40-49",105.509460046271,"C",0.571444468262791,4.56183462834983,7,67,3,48,9,12,7.5,115.26,70.25,299.4,2247.86258655373,"Ghost","Apple",0,1,9.48,0.612283365335315,0.539422535803169,1.88478446361303,2.55511998116504,1.88309753117604
"30-39",104.377963373832,"C",0.90094064657815,13.0806572999556,5,62,2,36,3,11,9.98,53.92,17.2,145.39,2770.42453412413,"Fire","Android",3,0,0,0.43359268666245,0.476963551715016,1.30460359177592,-0.636887337432422,3.14620098010668
"60-69",102.779520214717,"C",0.781563082790599,3.80214241590394,1,81,4,2,6,11,0.08,89.01,10.4,190.46,562.035070098806,"Fire","Android",2,1,4.59,0.330253064399585,0.26818570191972,0.333833417762618,0.306081471829096,2.24910430113881
"13-19",73.0544400454911,"E",0.879568269130256,5.28892026873039,4,69,0,3,17,11,12.2,108.16,22.95,176.44,1846.36078476523,"Fire","Apple",1,1,7.95,0.494791877921671,0.480879796203226,0.835911189871302,0.813977710228538,3.55809903709397
"50-59",86.4278438551246,"D",0.936930921663223,3.02928764025889,7,78,5,20,6,12,19.99,15.69,18.79,99.97,3322.49750331689,"Fire","Android",3,0,0,0.990579024888575,0.752854257589206,-0.953032141123114,1.27775852952102,1.11853264289841
"70+",85.8067189001328,"D",0.587699173717081,7.39763075143468,7,80,4,45,4,12,4.66,6.38,52.75,97.17,1936.39396052944,"Psychic","Android",0,1,0.33,0.144338458077982,0.26823554886505,0.434086293950805,1.12834488054166,1.3059917604197
"30-39",108.618953981208,"C",0.52275724208213,1.64538023888878,3,52,0,10,7,11,1.77,20.47,18.61,56.3,641.805283511007,"Fire","Apple",1,0,0,0.23779631126672,0.626788443652913,-0.116959177686086,-1.26055663459616,1.30310334137164
"13-19",117.066741548257,"B",0.565596812030771,4.7056547447851,2,61,0,5,15,9,3.12,84.44,16.87,148.12,2616.4536207496,"Fire","Apple",0,1,18.47,0.221200796309859,0.387068185722455,0.898485397619298,-0.888098672256801,1.90011254472078
"70+",83.842290452035,"E",0.476987166006622,5.68337892481635,4,62,4,1,6,13,5.11,59.34,17.02,137.42,973.054615673708,"Fire","Android",3,0,0,0.448454219847918,0.0558774669189006,-0.102073199348584,-1.57597726714985,4.75109776962707
"13-19",110.5081388895,"C",0.680699748144048,5.34835372543533,7,70,0,3,3,13,12.86,112.25,67.23,384.23,1996.83910981403,"Ghost","Apple",0,1,10.95,0.894849279196933,0.296117821475491,2.50479510794797,1.1086426276101,3.29409496073713
"50-59",88.9832236705272,"D",0.690363302915453,6.58239466026446,6,68,1,39,8,14,7.09,11.93,17.32,51.22,2069.33061711102,"Grass","Android",1,0,0,0.885823942953721,0.947437084279954,-0.203819171178135,0.509011674928439,1.4215958352714
"20-29",105.095542532845,"C",0.861011814249689,9.92520405326295,3,77,8,3,9,15,15.71,9.01,20.76,62.67,3418.22981196943,"Water","Apple",0,1,1.22,0.376972592202947,0.52325691236183,1.40403377008869,2.13558609489934,3.42494050474899
"20-29",86.2415499717645,"D",0.29059996413345,8.58315412379807,1,63,0,2,25,10,0.75,90.19,16.35,149.59,374.209031094929,"Fire","Apple",0,0,0,0.116518947994336,0.0434742225334048,-1.55267237648106,-1.7389041350535,3.0325277409027
"30-39",109.433162751959,"C",0.945828341924962,2.05828847749952,2,74,1,116,20,16,7.05,42.81,19.89,83.14,2463.54122756013,"Grass","Apple",1,0,0,0.33693189942278,0.728600275702775,-0.426278977197537,1.34409134248079,2.91765430726582
"30-39",106.277821103249,"C",0.447632630825944,2.64274315954765,4,70,3,161,9,15,4.63,180.75,20.51,358.69,1594.27306086045,"Grass","Microsoft",2,1,2.66,0.533637729240581,0.00306150503456593,1.89456300139847,3.47603505646485,2.34460114116854
"50-59",88.1257086466008,"D",0.14944962338471,11.4117659220986,1,64,2,30,9,14,10.76,28.82,17.11,75.05,3023.34852829958,"Fire","Apple",0,1,12.84,0.608618558850139,0.555430872365832,1.17031314427284,1.84328480765878,3.54986461507701
"70+",84.4184549049265,"E",0.797261940442005,13.9690739423695,5,75,2,57,6,9,9.6,60.05,27.75,135.09,1808.65595368749,"Water","Apple",1,0,0,0.0139829185791314,0.772919832961634,-0.554508199477061,0.285979203046195,1.44178114368039
